EP2,,,
0:28,,,
清,太伯公恁早。,,
伯,阿清啊，頭前這<gigigaga>發生麼个事情哩？,,
1:27,,,
心,就像萬頭家講个，吾張屋事業做恁大，𠊎做得理解大家个愁慮。新臺幣正發行，大家全急等換新錢，當然換毋着啊！,,
萬,我是無咧管汝新錢抑是舊錢啦。吉桑，欠儂錢就是愛還啦，這是理所當然个代誌啊！,,2
心,/汝講个著。/命令，係限半年換忒，下後𫣆俚逐隻月先還各位六股一个貸款呢？,,
茶販,"- Eˇ，做得囉，半年堵好還<清>。至少日光有講出解決个辦法，你兜就……<br>
- ○○日光，對𫣆俚乜無好處。<br>
- 係啊啦，恁樣做得囉。<br>
- ……",,
萬,吉桑，汝查某囝今仔日乎用喙面來替汝還數，但是我無仝款呢！我是借汝上百億个錢呢！<br>汝今仔若無提一塊地予我喔，我是無可能會走个。,,2
吉,汝欲保證喔？好啊！我共大坪山過戶予汝按呢會用未？,,2
茶販,（聽毋識 😢）,,
2:52,,,
吉,萬頭家，這兩百甲个大坪山是我个起家業，汝著愛收予好勢。,,2
萬,吉桑啊，汝一定還會起个啦，我只不過是欲提一个擔保。,,2
吉,𠊎張屋，斯有人來食茶，無人來討錢哩！,,
5:16,,,
吉,𠊎去阿土師傅屋下看看。妳摎文貴去臺北怡和摎夏茶个定單簽到來！,,
心,伯公係知哩仰結煞？,,
吉,斯分佢保管定定！𠊎當遽就會摎佢收轉來！<br>另擺毋使妳多話！,,
榮,社長，伯公來尋你。,,
6:03,,,
吉,阿伯，有麼个事情？,,
伯,喔。,,
,你，大坪廠，燒忒 lio？好朋友也○忒哩，𠊎想過來看看啊，看你過到好無？,,
吉,承蒙阿伯个關心。<br>大坪廠係燒忒哩，毋過，𠊎還有七間茶工廠。,,
伯,喔。<br>還有七間，你風神啦。,,
,啊著啦，聽講製茶公會啊，愛改選理事長，你係選着理事長，絕對會當多生理好做。有時啊，還會接着全部就係政府个大定單──,,
吉,阿伯，仰恁關心理事長个選舉？,,
伯,𠊎斯看你，摎祖產抵押出去恁多 lio！你係講做得做着理事長个時節，嗯？你就做得專心做你茶米个生理；祖產啊、田產啊，就做交分阿伯會摎你○○等。,,
吉,押出去个田產，全部係𠊎自家个，當遽會贖轉來，毋使阿伯煩勞。,,
伯,係啦，係阿伯想忒多个啦。<br>毋過，理事長个事情喔，你愛想清楚來哦！係講需要阿伯去打通關節个，你做你講！阿伯還有才調啦！啊？,,
10:07,,,
湯,往年怡和夏茶个定單一年至少兩百萬磅，今年，二十萬磅定喔？,,
心,湯經理，怡和講个，因為印度、錫蘭、印尼茶區恢復生產哩。,,
湯,毋過𫣆俚欠了三百三十萬哩呢！,,
心,一碗麵就二十萬哩。,,
湯,妳講个係舊臺幣，𠊎這下講个欠人三百三十萬係新臺幣啊小姐！,,
心,新臺幣？<br>該等於<fa>債一千三百億舊臺幣！？,,
湯,這兜錢啊，做得在大禾埕這，買半條街囉！<br>該債權人啊，看得起，也同情社長，上隻月開始,,
